variable;unit;min;max;Definition
Emi|NH3|Energy Supply;Mt NH3/yr;;;ammonia Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions,IPCC category 1B)
Emi|NH3|Waste;Mt NH3/yr;;;
Emi|NOX;Mt NOX/yr;;;total NOx emissions
Emi|NOX|Land Use;Mt NOX/yr;;;NOx emissions from agriculture,forestry and other land use (IPCC category 3)
Emi|NOX|Energy Supply and Demand;Mt NOX/yr;;;NOx emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|NOX|Energy Demand|ResCom;Mt NOX/yr;;;NOx emissions from fuel combustion in residential,commercial,institutional sectors (IPCC category 1A4a,1A4b)
Emi|NOX|Energy Demand|Industry;Mt NOX/yr;;;NOx emissions from fuel combustion in industry (IPCC category 1A2)
Emi|NOX|Energy Demand|Transport;Mt NOX/yr;;;NOx emissions from fuel combustion in transportation sector (IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|NOX|Energy Supply;Mt NOX/yr;;;NOx emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a),other energy conversion (e.g. refineries,synfuel production,solid fuel processing,IPCC category 1Ab,1Ac),incl. pipeline transportation (IPCC category 1A3ei),fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emi|NOX|Waste;Mt NOX/yr;;;
Emi|OC;Mt OC/yr;;;total organic carbon emissions
Emi|OC|Land Use;Mt OC/yr;;;organic carbon emissions from agriculture,forestry and other land use (IPCC category 3)
Emi|OC|Energy Supply and Demand;Mt OC/yr;;;organic carbon emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|OC|Energy Demand|ResCom;Mt OC/yr;;;organic carbon emissions from fuel combustion in residential,commercial,institutional sectors (IPCC category 1A4a,1A4b)
Emi|OC|Energy Demand|Industry;Mt OC/yr;;;organic carbon emissions from fuel combustion in industry (IPCC category 1A2)
Emi|OC|Energy Demand|Transport;Mt OC/yr;;;organic carbon emissions from fuel combustion in transportation sector (IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|OC|Energy Supply;Mt OC/yr;;;organic carbon emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a),other energy conversion (e.g. refineries,synfuel production,solid fuel prorganic carbonessing,IPCC category 1Ab,1Ac),incl. pipeline transportation (IPCC category 1A3ei),fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emi|OC|Waste;Mt OC/yr;;;
Emi|PFC;kt CF4-equiv/yr;;;total emissions of perfluorocarbons (PFCs),provided as aggregate CF4-equivalents
Emi|SF6;kt SF6/yr;;;total emissions of sulfur hexafluoride (SF6)
Emi|SO2;Mt SO2/yr;;;total sulfur (SO2) emissions
Emi|SO2|Land Use;Mt SO2/yr;;;sulfur emissions from agriculture,forestry and other land use (IPCC category 3)
Emi|SO2|Energy Supply and Demand;Mt SO2/yr;;;sulfur emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|SO2|Energy Demand|ResCom;Mt SO2/yr;;;sulfur emissions from fuel combustion in residential,commercial,institutional sectors (IPCC category 1A4a,1A4b)
Emi|SO2|Energy Demand|Industry;Mt SO2/yr;;;sulfur emissions from fuel combustion in industry (IPCC category 1A2)
Emi|SO2|Energy Demand|Transport;Mt SO2/yr;;;sulfur emissions from fuel combustion in transportation sector (IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|SO2|Energy Supply;Mt SO2/yr;;;sulfur emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a),other energy conversion (e.g. refineries,synfuel production,solid fuel processing,IPCC category 1Ab,1Ac),incl. pipeline transportation (IPCC category 1A3ei),fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emi|SO2|Waste;Mt SO2/yr;;;
Emi|VOC;Mt VOC/yr;;;total volatile organic compound (VOC) emissions
Emi|VOC|Land Use;Mt VOC/yr;;;land use based volatile organic compounds Emissions
Emi|VOC|Energy Supply and Demand;Mt VOC/yr;;;volatile organic compounds emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|VOC|Energy Demand|ResCom;Mt VOC/yr;;;volatile organic compounds Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A,1A4B)
Emi|VOC|Energy Demand|Industry;Mt VOC/yr;;;volatile organic compounds Emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5)
Emi|VOC|Energy Demand|Transport;Mt VOC/yr;;;volatile organic compounds Emissions from Combustion in Transportation Sector (IPCC category 1A3)
Emi|VOC|Energy Supply;Mt VOC/yr;;;volatile organic compounds Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions,IPCC category 1B)
Emi|VOC|Waste;Mt VOC/yr;;;
New Cap|Electricity|Biomass;GW;;;Capacity additions of all biomass power plants (yearly average additions between previos and current model time step)
New Cap|Electricity|Biomass|w/ CCS;GW;;;Capacity additions of biomass power plants with CCS (yearly average additions between previos and current model time step)
New Cap|Electricity|Biomass|w/o CCS;GW;;;Capacity additions of biomass power plants without CCS (yearly average additions between previos and current model time step)
New Cap|Electricity|Coal;GW;;;Capacity additions of all coal power plants (yearly average additions between previos and current model time step)
New Cap|Electricity|Coal|w/ CCS;GW;;;Capacity additions of coal power plants with CCS (yearly average additions between previos and current model time step)
New Cap|Electricity|Coal|w/o CCS;GW;;;Capacity additions of coal power plants without CCS (yearly average additions between previos and current model time step)
New Cap|Electricity|Gas;GW;;;Capacity additions of all gas power plants (yearly average additions between previos and current model time step)
New Cap|Electricity|Gas|w/ CCS;GW;;;Capacity additions of gas power plants with CCS (yearly average additions between previos and current model time step)
New Cap|Electricity|Gas|w/o CCS;GW;;;Capacity additions of gas power plants without CCS (yearly average additions between previos and current model time step)
New Cap|Electricity|Hydro;GW;;;Capacity additions of hydropower plants (yearly average additions between previos and current model time step)
New Cap|Electricity|Nuclear;GW;;;Capacity additions of nuclear power plants (yearly average additions between previos and current model time step)
New Cap|Electricity|Solar;GW;;;Capacity additions of solar power plants (yearly average additions between previos and current model time step)
New Cap|Electricity|Solar|CSP;GW;;;Capacity additions of concentrated solar power plants (yearly average additions between previos and current model time step)
New Cap|Electricity|Solar|PV;GW;;;Capacity additions of solar PV (yearly average additions between previos and current model time step)
New Cap|Electricity|Storage|Battery;GW;;;Capacity additions of electricity storage capacity (yearly average additions between previos and current model time step)
New Cap|Electricity|Wind;GW;;;Capacity additions of wind power plants (onshore and offshore) (yearly average additions between previos and current model time step)
Cap|Electricity;GW;;;total installed electricity generation capacity
Cap|Electricity|Biomass;GW;;;total installed electricity generation capacity of biomass power plants
Cap|Electricity|Biomass|w/ CCS;GW;;;Total installed (available) capacity of biomass power plants with CCS,including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1,...,Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cap|Electricity|Biomass|w/o CCS;GW;;;Total installed (available) capacity of biomass power plants without CCS,including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1,...,Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cap|Electricity|Coal;GW;;;total installed electricity generation capacity of coal power plants
Cap|Electricity|Coal|w/ CCS;GW;;;Total installed (available) capacity of coal power plants with CCS,including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1,...,Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cap|Electricity|Coal|w/o CCS;GW;;;Total installed (available) capacity of coal power plants without CCS,including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1,...,Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cap|Electricity|Gas;GW;;;total installed electricity generation capacity of gas power plants
Cap|Electricity|Gas|w/ CCS;GW;;;Total installed (available) capacity of gas power plants with CCS,including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1,...,Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cap|Electricity|Gas|w/o CCS;GW;;;Total installed (available) capacity of gas power plants without CCS,including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1,...,Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cap|Electricity|Geothermal;GW;;;total installed electricity generation capacity of geothermal power plants
Cap|Electricity|Hydro;GW;;;total installed electricity generation capacity of hydro power plants
Cap|Electricity|Nuclear;GW;;;total installed electricity generation capacity of nuclear power plants
Cap|Electricity|Oil|w/o CCS;GW;;;Total installed (available) capacity of oil power plants without CCS,including plants held in an operating reserve. The installed (available) capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/o CCS|1,...,Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cap|Electricity|Peak Demand|Estimated from FE x 1p4 x 1p1;GW;;;peak (maximum) electricity load
Cap|Electricity|Solar;GW;;;total installed electricity generation capacity of solar power installations
Cap|Electricity|Solar|CSP;GW;;;total installed electricity generation capacity of CSP plants
Cap|Electricity|Solar|PV;GW;;;total installed electricity generation capacity of PV installations
Cap|Electricity|Storage|Battery;GW;;;Total installed (available) capacity of operating electricity storage
Cap|Electricity|Wind;GW;;;total installed electricity generation capacity of wind power installations
Cumulative Cap|Electricity|Biomass;GW;;;cumulative installed capacity (since 2005) of biomass power plants
Cumulative Cap|Electricity|Biomass|w/ CCS;GW;;;cumulative installed capacity (since 2005) of biomass power plants with CCS.
Cumulative Cap|Electricity|Biomass|w/o CCS;GW;;;cumulative installed capacity (since 2005) of biomass power plants without CCS.
Cumulative Cap|Electricity|Coal;GW;;;cumulative installed capacity (since 2005) of coal power plants
Cumulative Cap|Electricity|Coal|w/ CCS;GW;;;cumulative installed capacity (since 2005) of coal power plants with CCS.
Cumulative Cap|Electricity|Coal|w/o CCS;GW;;;cumulative installed capacity (since 2005) of coal power plants without CCS.
Cumulative Cap|Electricity|Gas;GW;;;cumulative installed capacity (since 2005) of gas power plants
Cumulative Cap|Electricity|Gas|w/ CCS;GW;;;cumulative installed capacity (since 2005) of gas power plants without CCS.
Cumulative Cap|Electricity|Gas|w/o CCS;GW;;;cumulative installed capacity (since 2005) of gas power plants with CCS.
Cumulative Cap|Electricity|Hydro;GW;;;cumulative installed capacity (since 2005) of hydro power plants
Cumulative Cap|Electricity|Nuclear;GW;;;cumulative installed capacity (since 2005) of nuclear power plants
Cumulative Cap|Electricity|Solar;GW;;;cumulative installed capacity (since 2005) of solar power installations
Cumulative Cap|Electricity|Solar|CSP;GW;;;cumulative installed capacity (since 2005) of CSP plants
Cumulative Cap|Electricity|Solar|PV;GW;;;cumulative installed capacity (since 2005) of PV installations
Cumulative Cap|Electricity|Wind;GW;;;cumulative installed capacity (since 2005) of wind power installations
Cumulative Cap|Hydrogen|Biomass;GW;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants.
Cumulative Cap|Hydrogen|Biomass|w/ CCS;GW;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants with CCS. The cumulative capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/ CCS|1,...,Cumulative Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Cap|Hydrogen|Biomass|w/o CCS;GW;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants without CCS. The cumulative capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/o CCS|1,...,Cumulative Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Cap|Hydrogen|Electricity;GW;;;Cumulative installed capacity (since 2005) of hydrogen-by-electrolysis plants. The cumulative capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Electricity|1,...,Cumulative Capacity|Hydrogen|Electricity|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Energy Service|Buildings|Commercial|Floor Space;bn m2/yr;;;energy service demand for conditioned floor space in commercial buildings
Energy Service|Buildings|Floor Space;bn m2/yr;;;annual demand for floor space (and associated energy servide demand for heating and lighting) in residential and commerical buildings
Energy Service|Buildings|Residential|Floor Space;bn m2/yr;;;energy service demand for conditioned floor space in residential buildings
ES|Transport|VKM|Pass|Aviation|Domestic;bn vkm/yr;;;Annual demand for energy services in billion vehicle-kms related to both passenger and freight transportation by Aviation
ES|Transport|VKM|Pass|Aviation|International;bn vkm/yr;;;Annual demand for energy services in billion vehicle-kms related to both passenger and freight transportation by Aviation
ES|Transport|Freight;bn tkm/yr;;;annual demand for energy services related to freight transportation
ES|Transport|Freight|International Shipping;bn tkm/yr;;;annual demand for energy services related to freight transportation in international shipping
ES|Transport|Freight|Navigation;bn tkm/yr;;;annual demand for energy services related to freight transportation in navigation
ES|Transport|Freight|Rail;bn tkm/yr;;;annual demand for energy services related to freight transportation in railways
ES|Transport|Freight|Road;bn tkm/yr;;;annual demand for energy services related to freight transportation on roads
ES|Transport|VKM|Freight|Navigation;bn vkm/yr;;;Annual demand for energy services in billion vehicle-kms related to both passenger and freight transportation by Navigation
ES|Transport|Pass;bn pkm/yr;;;annual demand for energy services related to passenger transportation
ES|Transport|Pass|Aviation|Domestic;bn pkm/yr;;;annual demand for energy services related to passenger transportation in aviation
ES|Transport|Pass|Aviation|International;bn pkm/yr;;;annual demand for energy services related to passenger transportation in aviation
ES|Transport|Pass|Road|Non-Motorized;bn pkm/yr;;;energy service demand for passenger transport on bicycles and by foot
ES|Transport|Pass|Rail;bn pkm/yr;;;annual demand for energy services related to passenger transportation in railways
ES|Transport|Pass|Road;bn pkm/yr;;;annual demand for energy services related to passenger transportation on roads
ES|Transport|Pass|Road|LDV|Two-Wheelers;bn pkm/yr;;;energy service demand for passenger transport on roads (two- and three-wheel vehicles)
ES|Transport|Pass|Road|Bus;bn pkm/yr;;;energy service demand for passenger transport on roads (buses)
ES|Transport|Pass|Road|LDV;bn pkm/yr;;;energy service demand for passenger transport on roads (light-duty vehicles: passenger cars and light trucks/SUVs/vans)
ES|Transport|VKM|Rail;bn vkm/yr;;;Annual demand for energy services in billion vehicle-kms related to both passenger and freight transportation by Rail
ES|Transport|VKM|Road;bn vkm/yr;;;Annual demand for energy services in billion vehicle-kms related to both passenger and freight transportation by Road
FE;EJ/yr;;;total final energy consumption by all end-use sectors and all fuels,excluding transmission/distribution losses
FE|Buildings;EJ/yr;;;final energy consumed in the residential & commercial sector
FE|Buildings|Electricity;EJ/yr;;;final energy consumption by the residential & commercial sector of electricity (including on-site solar PV),excluding transmission/distribution losses
FE|Buildings|Gases;EJ/yr;;;final energy consumption by the residential & commercial sector of gases (natural gas,biogas,coal-gas),excluding transmission/distribution losses
FE|Buildings|Heat;EJ/yr;;;final energy consumption by the residential & commercial sector of heat (e.g.,district heat,process heat,solar heating and warm water),excluding transmission/distribution losses
FE|Buildings|Hydrogen;EJ/yr;;;final energy consumption by the residential & commercial sector of hydrogen
FE|Buildings|Liquids;EJ/yr;;;final energy consumption by the residential & commercial sector of refined liquids (conventional & unconventional oil,biofuels,coal-to-liquids,gas-to-liquids)
FE|Buildings|Appliances and Light;EJ/yr;;;Final energy consumption by the residential and commercial sector for appliances
FE|Buildings|Space Cooling;EJ/yr;;;Final energy consumption by the residential and commercial sector for heating|space
FE|Buildings|Space Heating;EJ/yr;;;Final energy consumption by the residential and commercial sector for heating|space
FE|Buildings|Cooking and Water;EJ/yr;;;Final energy consumption by the residential and commercial sector for heating|water
FE|Buildings|Solids;EJ/yr;;;final energy solid fuel consumption by the residential & commercial sector (including coal and solid biomass)
FE|Buildings|Solids|Biomass;EJ/yr;;;final energy consumption by the residential & commercial sector of solid biomass (modern and traditional)
FE|Buildings|Solids|Biomass|Traditional;EJ/yr;;;final energy consumed in the residential & commercial sector coming from biomass (traditional)
FE|Buildings|Solids|Coal;EJ/yr;;;final energy coal consumption by the residential & commercial sector
FE|+|Electricity;EJ/yr;;;final energy consumption of electricity (including on-site solar PV),excluding transmission/distribution losses
FE|+|Gases;EJ/yr;;;final energy consumption of gases (natural gas,biogas,coal-gas),excluding transmission/distribution losses
SE|Heat|Geothermal;EJ/yr;;;final energy consumption of geothermal energy (e.g.,from decentralized or small-scale geothermal heating systems) EXCLUDING geothermal heat pumps
FE|+|Heat;EJ/yr;;;final energy consumption of heat (e.g.,district heat,process heat,warm water),excluding transmission/distribution losses,excluding direct geothermal and solar heating
FE|+|Hydrogen;EJ/yr;;;final energy consumption of hydrogen,excluding transmission/distribution losses
FE|Industry;EJ/yr;;;final energy consumed by the industrial sector,including feedstocks,including agriculture and fishing
FE|Industry|Electricity|Cement;EJ/yr;;;final energy consumption by the industrial cement sector of electricity,excluding transmission/distribution losses
FE|Industry|Gases|Cement;EJ/yr;;;final energy consumption by the industrial cement sector of gases,excluding transmission/distribution losses
FE|Industry|Heat|Cement;EJ/yr;;;final energy consumption by the industrial cement sector of heat,excluding transmission/distribution losses
FE|Industry|Hydrogen|Cement;EJ/yr;;;final energy consumption by the industrial cement sector of hydrogen,excluding transmission/distribution losses
FE|Industry|Liquids|Cement;EJ/yr;;;final energy consumption by the industrial cement sector of liquids,excluding transmission/distribution losses
FE|Industry|Solids|Cement;EJ/yr;;;final energy consumption by the industrial cement sector of solids,excluding transmission/distribution losses
FE|Industry|Electricity|Chemicals;EJ/yr;;;final energy consumption by the industrial chemicals sector of electricity,excluding transmission/distribution losses
FE|Industry|Gases|Chemicals;EJ/yr;;;final energy consumption by the industrial chemicals sector of gases,excluding transmission/distribution losses
FE|Industry|Heat|Chemicals;EJ/yr;;;final energy consumption by the industrial chemicals sector of heat,excluding transmission/distribution losses
FE|Industry|Hydrogen|Chemicals;EJ/yr;;;final energy consumption by the industrial chemicals sector of hydrogen,excluding transmission/distribution losses
FE|Industry|Liquids|Chemicals;EJ/yr;;;final energy consumption by the industrial chemicals sector of liquids,excluding transmission/distribution losses
FE|Industry|Solids|Chemicals;EJ/yr;;;final energy consumption by the industrial chemicals sector of solids,excluding transmission/distribution losses
FE|Industry|Electricity;EJ/yr;;;final energy consumption by the industrial sector of electricity (including on-site solar PV),excluding transmission/distribution losses
FE|Industry|Gases;EJ/yr;;;final energy consumption by the industrial sector of gases (natural gas,biogas,coal-gas),excluding transmission/distribution losses
FE|Industry|Gases|Biomass;EJ/yr;;;Final energy consumption by the industrial sector of bioenergy gases (biogas),excluding transmission/distribution losses
FE|Industry|Heat;EJ/yr;;;final energy consumption by the industrial sector of heat (e.g.,district heat,process heat,solar heating and warm water),excluding transmission/distribution losses
FE|Industry|Hydrogen;EJ/yr;;;final energy consumption by the industrial sector of hydrogen
FE|Industry|Liquids;EJ/yr;;;final energy consumption by the industrial sector of refined liquids (conventional & unconventional oil,biofuels,coal-to-liquids,gas-to-liquids)
FE|Industry|Electricity|other;EJ/yr;;;final energy consumption by the industrial other sector of electricity, excluding transmission/distribution losses
FE|Industry|Gases|other;EJ/yr;;;final energy consumption by the industrial other sector of gases, excluding transmission/distribution losses
FE|Industry|Heat|other;EJ/yr;;;final energy consumption by the industrial other sector of heat, excluding transmission/distribution losses
FE|Industry|Hydrogen|other;EJ/yr;;;final energy consumption by the industrial other sector of hydrogen, excluding transmission/distribution losses
FE|Industry|Liquids|other;EJ/yr;;;final energy consumption by the industrial other sector of liquids, excluding transmission/distribution losses
FE|Industry|Solids|other;EJ/yr;;;final energy consumption by the industrial other sector of solids, excluding transmission/distribution losses
FE|Industry|Solids;EJ/yr;;;final energy solid fuel consumption by the industrial sector (including coal and solid biomass)
FE|Industry|Solids|Biomass;EJ/yr;;;final energy consumption by the industry sector of solid biomass
FE|Industry|Solids|Coal;EJ/yr;;;final energy consumption by the industry sector of coal
FE|Industry|Electricity|Steel;EJ/yr;;;final energy consumption by the industrial steel sector of electricity,excluding transmission/distribution losses
FE|Industry|Gases|Steel;EJ/yr;;;final energy consumption by the industrial steel sector of gases,excluding transmission/distribution losses
FE|Industry|Heat|Steel;EJ/yr;;;final energy consumption by the industrial steel sector of heat,excluding transmission/distribution losses
FE|Industry|Hydrogen|Steel;EJ/yr;;;final energy consumption by the industrial steel sector of hydrogen,excluding transmission/distribution losses
FE|Industry|Liquids|Steel;EJ/yr;;;final energy consumption by the industrial steel sector of liquids,excluding transmission/distribution losses
FE|Industry|Solids|Steel;EJ/yr;;;final energy consumption by the industrial steel sector of solids,excluding transmission/distribution losses
FE|+|Liquids;EJ/yr;;;final energy consumption of refined liquids (conventional & unconventional oil,biofuels,coal-to-liquids,gas-to-liquids)
FE|CDR;EJ/yr;;;total final energy consumption by other sectors
FE|CDR|Electricity;EJ/yr;;;final energy consumption by other sectors of electricity (including on-site solar PV),excluding transmission/distribution losses
FE|CDR|Gases;EJ/yr;;;final energy consumption by other sectors of gases (natural gas,biogas,coal-gas),excluding transmission/distribution losses
FE|CDR|Hydrogen;EJ/yr;;;final energy consumption by other sectors of hydrogen
FE|CDR|Liquids;EJ/yr;;;final energy consumption by other sectors of refined liquids (conventional & unconventional oil,biofuels,coal-to-liquids,gas-to-liquids)
FE|+|Solids;EJ/yr;;;final energy solid fuel consumption (including coal and solid biomass)
FE|Solids|Biomass;EJ/yr;;;final energy consumption of solid biomass (modern and traditional),excluding final energy consumption of bioliquids which are reported in the liquids category
FE|Solids|Biomass|Traditional;EJ/yr;;;final energy consumption of traditional biomass
FE|Solids|Coal;EJ/yr;;;final energy coal consumption
FE|Transport;EJ/yr;;;final energy consumed in the transportation sector,including bunker fuels,excluding pipelines
FE|Transport|Pass|Aviation|Domestic;EJ/yr;;;Final energy consumed in the transport sector by passenger aviation mode
FE|Transport|Pass|Aviation|International;EJ/yr;;;Final energy consumed in the transport sector by passenger aviation mode
FE|Transport|Electricity;EJ/yr;;;final energy consumption by the transportation sector of electricity (including on-site solar PV),excluding transmission/distribution losses
FE|Transport|Freight;EJ/yr;;;final energy consumed for freight transportation
FE|Transport|Freight|Electricity;EJ/yr;;;final energy consumption by the freight transportation sector of electricity (including on-site solar PV),excluding transmission/distribution losses
FE|Transport|Freight|Gases;EJ/yr;;;final energy consumption by the freight transportation sector of gases (natural gas,biogas,coal-gas),excluding transmission/distribution losses
FE|Transport|Freight|Hydrogen;EJ/yr;;;final energy consumption by the freight transportation sector of hydrogen
FE|Transport|Freight|Liquids;EJ/yr;;;final energy consumption by the freight transportation sector of refined liquids (conventional & unconventional oil,biofuels,coal-to-liquids,gas-to-liquids)
FE|Transport|Freight|Liquids|Biomass;EJ/yr;;;Final biofuels based (liquid or gas) energy consumed in the transport sector by freight vehicles
FE|Transport|Freight|Liquids|Oil;EJ/yr;;;final energy consumption by the freight transportation sector of liquid oil products (from conventional & unconventional oil)
FE|Transport|Freight|Liquids|Hydrogen;EJ/yr;;;final energy consumption by the freight transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
FE|Transport|Gases;EJ/yr;;;final energy consumption by the transportation sector of gases (natural gas,biogas,coal-gas),excluding transmission/distribution losses
FE|Transport|Gases|Biomass;EJ/yr;;;Final bioenergy-based gas energy consumed in the transportation sector.
FE|Transport|Gases|Non-Biomass;EJ/yr;;;Final fossil-based gas energy consumed in the transportation sector.
FE|Transport|Hydrogen;EJ/yr;;;final energy consumption by the transportation sector of hydrogen
FE|Transport|Liquids;EJ/yr;;;final energy consumption by the transportation sector of refined liquids (conventional & unconventional oil,biofuels,coal-to-liquids,gas-to-liquids)
FE|Transport|Liquids|Biomass;EJ/yr;;;Final biofuels based (liquid or gas) energy consumed in the transport sector by passenger and freight vehicles
FE|Transport|Liquids|Coal;EJ/yr;;;final energy consumption by the transportation sector of coal based liquids (coal-to-liquids)
FE|Transport|Liquids|Oil;EJ/yr;;;final energy consumption by the transportation sector of liquid oil products (from conventional & unconventional oil)
FE|Transport|Freight|Navigation;EJ/yr;;;Final energy consumed in the transport sector by maritime mode
FE|Transport|Freight|International Shipping;EJ/yr;;;Final energy consumed in the transport sector by maritime mode
FE|Transport|Liquids|Hydrogen;EJ/yr;;;final energy consumption by the transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
FE|Transport|Pass;EJ/yr;;;final energy consumed for passenger transportation
FE|Transport|Pass|Electricity;EJ/yr;;;final energy consumption by the passenger transportation sector of electricity (including on-site solar PV),excluding transmission/distribution losses
FE|Transport|Pass|Gases;EJ/yr;;;final energy consumption by the passenger transportation sector of gases (natural gas,biogas,coal-gas),excluding transmission/distribution losses
FE|Transport|Pass|Hydrogen;EJ/yr;;;final energy consumption by the passenger transportation sector of hydrogen
FE|Transport|Pass|Liquids;EJ/yr;;;final energy consumption by the passenger transportation sector of refined liquids (conventional & unconventional oil,biofuels,coal-to-liquids,gas-to-liquids)
FE|Transport|Pass|Liquids|Biomass;EJ/yr;;;Final biofuels based (liquid or gas) energy consumed in the transport sector by passenger vehicles
FE|Transport|Pass|Liquids|Oil;EJ/yr;;;final energy consumption by the passenger transportation sector of liquid oil products (from conventional & unconventional oil)
FE|Transport|Pass|Liquids|Hydrogen;EJ/yr;;;final energy consumption by the passenger transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
FE|Transport|Rail;EJ/yr;;;Final energy consumed in the transport sector by rail mode
FE|Transport|Freight|Rail;EJ/yr;;;Final energy consumed in the transport sector by freight rail mode
FE|Transport|Pass|Rail;EJ/yr;;;Final energy consumed in the transport sector by passenger rail mode
FE|Transport|Freight|Road;EJ/yr;;;Final energy consumed in the transport sector by road transport freight vehicles
FE|Transport|Freight|Road|Electricity;EJ/yr;;;Final energy consumed in the transport sector by road transport freight  electric vehicles (e.g. PHEV,BEV)
FE|Transport|Freight|Road|Hydrogen;EJ/yr;;;Final energy consumed in the transport sector by road transport freight  fuel cell vehicles
FE|Transport|Freight|Road|Liquids;EJ/yr;;;Final energy consumed in the transport sector by road transport freight vehicles,driven by an internal combustion engine (including HEVs)
FE|Transport|Pass|Road;EJ/yr;;;Final energy consumed in the transport sector by road transport passenger vehicles
FE|Transport|Pass|Road|LDV|Two-Wheelers;EJ/yr;;;Final energy consumed in the transport sector by road passenger transport by 2W and 3W vehicles
FE|Transport|Pass|Road|Bus;EJ/yr;;;
FE|Transport|Pass|Road|LDV;EJ/yr;;;
Price|Final Energy|Electricity|Transport|Moving Avg;US$2005/GJ;1.10774;;Electricity price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.
Price|Final Energy|Gases|Transport;US$2005/GJ;1.10774;;Gases price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.
